TIME,[JYJ]AI_CAL[5],[JYJ]AI_CAL[6],[JYJ]AI_CAL[7],[GXC]AI_CAL[35],[GXC]AI_CAL[46],[GXC]AI_CAL[37],[GXC]AI_CAL[33],[GXC]AI_CAL[45],[GXC]AI_CAL[47],[GXC]AI_CAL[34],[PDJ]AI_CAL[12],[PDJ]AI_CAL[11],[PDJ]AI_CAL[10],[PDJ]AI_CAL[7],[PDJ]AI_CAL[8],[PDJ]AI_CAL[9],[PDJ]AI_CAL[5]
2023/1/16 11:00,0.5,1.04,10.69,27.92,3.01,2.93,1.99,267.51,7.17,2018.64,7.97,0.3,0.44,0.88,7.05,11.08,1586.41
2023/1/16 11:15,0.5,1.04,10.78,27.87,3.02,2.93,0,267.41,7.14,1986.85,7.98,0.3,0.4,0.85,7.04,11.07,1624.79
2023/1/16 11:30,0.5,1.04,10.78,27.86,3.01,2.96,3.05,267.45,7.16,1961.62,7.68,0.3,0.4,1.08,7.02,10.62,1618.21
2023/1/16 11:45,0.5,1.04,10.78,27.84,3.02,2.93,0.4,267.38,7.13,1981.15,7.68,0.29,0.4,1.14,7.02,10.64,1660.02
2023/1/16 12:00,0.5,1.04,10.78,27.9,3.02,2.93,3.05,267.34,7.14,1992.24,7.69,0.3,0.4,1.52,7.02,10.62,1600.84
2023/1/16 12:15,0.5,1.04,10.78,35.42,3.02,0,1.52,267.55,7.17,1900.67,7.67,0.29,0.4,1.45,7.01,10.64,1698.49
2023/1/16 12:30,0.5,1.04,10.78,35.42,3.02,0,0,267.54,7.15,1995.09,7.68,0.29,0.4,1.38,7.01,10.62,1704.19
2023/1/16 12:45,0.5,1.04,10.78,35.49,4.1,0,0,267.58,7.15,1825.49,7.68,0.29,0.4,1.38,6.99,10.62,1686.52
2023/1/16 13:00,0.5,1.04,10.78,35.41,4.09,0,2.64,267.47,7.14,1979.48,7.68,0.29,0.4,5.26,7,10.65,1679.26
2023/1/16 13:15,0.5,1.04,10.78,35.39,4.09,0,0.64,267.57,7.14,1885.26,7.68,0.29,0.35,4.67,7.01,10.65,1682.3
2023/1/16 13:30,0.5,1.04,10.78,35.4,4.09,0,2.99,267.37,7.11,1872.21,7.32,0.29,0.35,3.48,7.02,10.63,1664.44
2023/1/16 13:45,0.5,1.04,10.78,35.42,4.09,0,2.58,267.47,7.15,1864.07,7.32,0.29,0.35,2.43,7.02,10.65,1638.04
2023/1/16 14:00,0.5,1.04,10.78,35.39,4.09,0,3.29,267.38,7.17,1777.89,7.31,0.29,0.35,2.2,7.02,10.65,1663.95
2023/1/16 14:15,0.5,1.04,10.78,37.66,4.09,11.64,2.64,267.47,7.2,1862.2,7.32,0.28,0.35,1.97,7.01,10.63,1673.07
2023/1/16 14:30,0.5,1.04,10.78,37.66,4.09,11.62,0,267.5,7.19,1634.11,7.32,0.28,0.35,8.45,7.02,10.62,1659.63
2023/1/16 14:45,0.5,1.04,10.78,37.65,3.69,11.58,1.64,267.32,7.17,1784.47,7.31,0.28,0.35,6.45,7.03,10.64,1664.63
2023/1/16 15:00,0.5,1.04,10.78,37.66,3.69,11.79,0,267.54,7.19,1542.34,7.31,0.28,0.35,4.33,7.04,10.62,1634.8
2023/1/16 15:15,0.5,1.04,10.78,37.7,3.69,11.54,2.82,267.34,7.16,1940.72,7.31,0.28,0.4,2.99,7.03,10.62,1570.9
2023/1/16 15:30,0.5,1.04,10.78,37.7,3.68,11.66,0.46,267.38,7.17,1924.33,7.22,0.28,0.4,2.39,7.03,9.79,1577.58
2023/1/16 15:45,0.5,1.04,10.78,37.69,3.68,11.62,0,267.48,7.2,1862.79,7.21,0.28,0.4,2.12,7.03,9.78,1578.56
2023/1/16 16:00,0.5,1.04,10.78,37.7,3.68,11.63,1.93,267.53,7.24,1774.75,7.21,0.28,0.4,1.8,7.05,9.78,1629.4
2023/1/16 16:15,0.5,1.04,10.78,36.39,3.67,5.48,3.35,267.39,7.22,1833.64,7.22,0.29,0.4,1.76,7.33,9.78,1598.97
2023/1/16 16:30,0.5,1.04,10.78,36.37,3.69,5.49,1.99,267.32,7.22,1775.73,7.22,0.29,0.4,1.69,7.19,9.79,1619.98
2023/1/16 16:45,0.5,1.04,10.78,36.36,3.71,5.38,2.11,267.32,7.26,1750.12,7.22,0.29,0.4,1.44,7.11,9.78,1594.07
2023/1/16 17:00,0.5,1.04,10.78,36.42,3.71,5.5,3.17,267.35,7.31,1639.9,7.22,0.29,0.4,1.38,7.08,9.79,1593.67
2023/1/16 17:15,0.5,1.04,10.78,36.4,3.71,5.34,2.58,267.32,7.33,1737.16,7.22,0.29,0.41,1.36,7.07,9.79,1580.82
2023/1/16 17:30,0.5,1.04,10.78,36.42,3.71,5.34,0,267.43,7.35,1430.06,6.81,0.29,0.41,1.23,7.06,9.81,1563.74
2023/1/16 17:45,0.5,1.04,10.69,36.38,3.7,5.43,3.23,267.41,7.37,1518.69,6.81,0.29,0.41,1.25,7.05,9.82,1560.5
2023/1/16 18:00,0.5,1.04,10.78,36.37,3.7,5.41,2.29,267.5,7.38,1523.11,6.82,0.29,0.41,1.16,6.88,9.85,1330.35
2023/1/16 18:15,0.5,1.04,10.78,32.6,3.71,5.42,1.46,267.55,7.38,1511.13,6.82,0.29,0.41,1.13,5.77,9.84,1324.66
2023/1/16 18:30,0.5,1.04,10.78,32.58,3.71,6,3.23,267.34,7.35,1526.54,6.82,0.29,0.41,1.15,6.31,9.85,1336.04
2023/1/16 18:45,0.5,1.04,10.88,32.62,3.36,6.01,0.52,267.35,7.33,1509.17,6.82,0.29,0.41,1.15,6.55,9.84,1335.65
2023/1/16 19:00,0.5,1.04,10.78,32.56,3.35,5.93,0,267.51,7.36,1592.79,6.81,0.29,0.41,1.13,6.69,9.84,1336.73
2023/1/16 19:15,0.5,1.04,10.78,32.69,3.36,6.08,0,267.51,7.36,1504.07,6.83,0.29,0.83,1.06,6.77,9.85,1338.1
2023/1/16 19:30,0.5,1.04,10.78,32.64,3.36,6.01,0.05,267.41,7.34,1586.02,8.06,0.29,0.83,0.99,6.82,11.35,1344.78
2023/1/16 19:45,0.5,1.04,10.69,32.61,3.35,5.97,3.11,267.35,7.35,1547.64,8.06,0.29,0.83,1,6.85,11.35,1332.02
2023/1/16 20:00,0.5,1.04,10.78,32.6,3.36,5.98,2.23,515.65,7.33,1531.45,8.06,0.29,0.83,0.98,6.87,11.36,1336.04
2023/1/16 20:15,0.5,1.04,10.78,31.92,3.35,5.93,3.11,515.75,7.35,1595.34,8.06,0.3,0.83,0.99,6.88,11.36,1337.71
2023/1/16 20:30,0.5,1.04,10.78,31.9,3.35,5.99,1.93,515.85,7.36,1519.18,8.06,0.3,0.83,0.99,6.89,11.36,1333.49
2023/1/16 20:45,0.5,1.04,10.78,31.92,3.05,5.94,1.7,515.64,7.31,1595.54,8.06,0.3,0.83,1.02,6.89,11.35,1331.72
2023/1/16 21:00,0.5,1.04,10.78,31.87,3.05,5.9,0,515.85,7.33,1556.38,8.06,0.3,0.83,0.97,6.89,11.35,1332.21
2023/1/16 21:15,0.5,1.04,10.78,31.88,3.05,6.02,0,515.73,7.31,1593.08,8.06,0.3,1.05,1.02,6.88,11.35,1335.75
2023/1/16 21:30,0.5,1.04,10.78,31.9,3.04,5.98,0,515.8,7.31,1576.89,8.61,0.3,1.05,0.98,6.89,11.36,1341.34
2023/1/16 21:45,0.5,1.04,10.78,31.88,3.04,5.91,0.64,515.89,7.33,1575.12,8.61,0.3,1.05,1.02,6.87,11.35,1329.47
2023/1/16 22:00,0.5,1.04,10.78,31.93,3.04,6,2.11,515.85,7.32,1583.07,8.61,0.3,1.05,1.02,6.87,11.36,1347.82
2023/1/16 22:15,0.5,1.04,10.78,36.05,3.04,5.97,0,515.9,7.31,1576.89,8.61,0.31,1.05,1.01,6.86,11.35,1337.32
2023/1/16 22:30,0.5,1.04,10.78,36.06,3.04,5.95,2.23,515.75,7.29,1566.09,8.61,0.31,1.05,0.99,6.85,11.35,1336.92
2023/1/16 22:45,0.5,1.04,10.78,36.01,3.89,5.92,0,467.54,7.3,1963.49,8.61,0.31,1.05,1.09,6.85,11.38,1336.73
2023/1/16 23:00,0.5,1.04,10.78,36.02,3.9,5.99,0,467.54,7.29,1920.01,8.61,0.31,1.05,1,6.84,11.35,1350.66
2023/1/16 23:15,0.5,1.04,10.78,35.92,3.9,6.04,0.46,467.27,7.25,1829.32,8.6,0.31,1.63,1.01,6.84,11.33,1362.54
2023/1/16 23:30,0.5,1.04,10.78,36.01,3.89,6.06,1.99,467.42,7.26,1793.01,10.25,0.31,1.63,1.06,6.84,12.74,1459.21
2023/1/16 23:45,0.5,1.04,10.78,35.99,3.89,5.98,0,467.53,7.27,1727.25,10.26,0.31,1.63,1.12,6.82,12.77,1511.23
2023/1/17 0:00,0.5,1.04,10.78,36.03,3.89,5.96,1.52,467.45,7.25,1785.55,10.26,0.31,1.63,1.14,6.82,12.74,1349.98
2023/1/17 0:15,0.5,1.04,10.78,33.98,3.9,6.04,2.35,467.33,7.22,1780.54,10.26,0.33,1.63,1.19,6.81,12.75,1380.21
2023/1/17 0:30,0.5,1.04,10.78,33.98,3.9,5.98,0,467.5,7.22,1695.25,10.26,0.33,1.63,1.22,6.81,12.78,1389.53
2023/1/17 0:45,0.5,1.04,10.78,33.91,3.62,5.96,0,438.23,7.23,1805.37,10.26,0.33,1.63,1.16,6.8,12.74,1392.28
2023/1/17 10:00,0.5,1.04,10.78,20.31,1.97,5.93,0,136.62,7.15,2072.04,8.35,0.32,0.75,1.2,6.9,9.55,1651.78
2023/1/17 10:15,0.5,1.04,10.78,26.06,1.97,6.13,0,136.67,7.16,2124.64,8.35,0.26,0.75,1.83,6.88,9.55,1740.21
2023/1/17 10:30,0.5,1.04,10.78,26.02,1.96,5.9,0,136.73,7.18,2127.98,8.35,0.26,0.75,1.3,6.88,9.53,1737.06
2023/1/17 10:45,0.5,1.04,10.78,26,2.67,6.03,0,265.84,7.2,2130.43,8.35,0.26,0.75,1.52,6.88,9.53,1718.32
2023/1/17 11:00,0.5,1.04,10.78,26.05,2.66,6.09,1.23,265.96,7.25,2104.52,8.35,0.26,0.75,1.07,6.88,9.52,1729.61
2023/1/17 11:15,0.5,1.04,10.78,26.04,2.67,6.18,0.7,265.75,7.22,2052.5,8.35,0.26,0.3,1.37,6.87,9.52,1723.03
2023/1/17 11:30,0.5,1.04,10.78,26.03,2.67,6,0,265.8,7.23,2014.52,7.34,0.26,0.3,1.15,6.86,9.06,1726.96
2023/1/17 11:45,0.5,1.04,10.78,25.96,2.68,6.03,0,265.81,7.23,1587.69,7.34,0.26,0.3,1.16,6.85,9.08,1723.03
2023/1/17 12:00,0.5,1.04,10.78,26.04,2.66,6.08,1.76,265.91,7.26,1806.36,7.34,0.26,0.3,0.98,6.86,9.06,1655.21
2023/1/17 12:15,0.5,1.04,10.78,32.77,2.66,6.13,2.93,265.85,7.25,1790.16,7.34,0.25,0.3,1.05,6.86,9.05,1607.02
2023/1/17 12:30,0.5,1.04,10.78,32.77,2.67,6,0.93,265.96,7.26,1802.92,7.34,0.25,0.3,0.86,6.86,9.06,1594.85
2023/1/17 12:45,0.5,1.04,10.78,32.78,3.58,6.03,0,265.86,7.23,1792.22,7.34,0.25,0.3,1.1,6.86,9.07,1562.86
2023/1/17 13:00,0.5,1.04,10.78,32.79,3.58,6.07,0,349.53,7.22,1817.94,7.35,0.25,0.3,0.87,6.87,9.08,1577.38
2023/1/17 13:15,0.5,1.04,10.78,32.78,3.58,6.2,2.4,349.36,7.2,1771.61,7.34,0.25,0.42,1.02,6.88,9.06,1552.94
2023/1/17 13:30,0.5,1.04,10.69,32.7,3.59,6.05,0,349.52,7.22,1769.06,7.34,0.25,0.42,0.91,6.89,9.03,1547.45
2023/1/17 13:45,0.5,1.04,10.78,32.77,3.58,6.02,2.99,349.49,7.21,1760.32,7.34,0.25,0.42,0.84,6.9,9.05,1519.87
2023/1/17 14:00,0.5,1.04,10.78,32.74,3.58,6.02,3.23,349.38,7.19,1797.82,7.35,0.25,0.42,0.81,6.9,9.03,1512.31
2023/1/17 14:15,0.5,1.04,10.78,32.35,3.58,6.17,1.05,349.4,7.17,1766.41,7.35,0.23,0.42,0.77,6.89,9.03,1496.12
2023/1/17 14:30,0.5,1.04,10.78,32.37,3.58,5.98,2.88,349.51,7.2,1758.75,7.35,0.23,0.42,0.82,6.9,9.04,1483.75
2023/1/17 14:45,0.5,1.04,10.78,32.38,3.57,6.05,0.81,349.61,7.22,1781.43,7.35,0.23,0.42,0.82,6.9,9.06,1490.72
2023/1/17 15:00,0.5,1.04,10.78,32.34,3.57,6.1,3.29,299.66,7.19,1777.99,7.35,0.23,0.42,0.79,6.9,9.04,1490.72
2023/1/17 15:15,0.5,1.04,10.78,32.31,3.57,6.22,0,299.76,7.18,1750.71,7.35,0.23,0.47,0.68,6.91,9.03,1278.14
2023/1/17 15:30,0.5,1.04,10.78,32.35,3.57,5.98,2.11,299.8,7.2,1735.98,7.5,0.23,0.47,0.64,6.92,9.25,1283.63
2023/1/17 15:45,0.5,1.04,10.78,32.34,3.57,6.07,2.64,299.59,7.12,1769.65,7.51,0.23,0.46,0.6,6.92,9.29,1305.13
2023/1/17 16:00,0.5,1.04,10.78,32.34,3.57,6.1,1.4,299.83,7.14,1761.7,7.5,0.23,0.47,0.6,6.92,9.25,1305.91
2023/1/17 16:15,0.5,1.04,10.78,32.71,3.57,6.2,3.23,299.71,7.12,1786.53,7.5,0.23,0.46,0.56,6.91,9.25,1300.61
2023/1/17 16:30,0.5,1.04,10.78,32.67,3.57,6.05,2.99,299.71,7.12,1761.9,7.5,0.23,0.47,0.71,6.91,9.26,1319.65
2023/1/17 16:45,0.5,1.04,10.78,32.65,3.5,6.04,0,299.71,7.1,1721.75,7.5,0.23,0.46,0.6,6.91,9.28,1300.71
2023/1/17 17:00,0.5,1.04,10.78,32.71,3.5,5.93,1.76,358.73,7.09,1753.26,7.5,0.23,0.46,0.67,6.91,9.26,1337.22
2023/1/17 17:15,0.5,1.04,10.78,32.67,3.49,6.18,0,359,7.12,1767.39,7.5,0.23,0.45,0.68,6.91,9.26,1333.69
2023/1/17 17:30,0.5,1.04,10.78,32.71,3.5,6.07,0,358.92,7.1,1773.77,7.28,0.23,0.45,0.71,6.89,8.76,1344.19
2023/1/17 17:45,0.5,1.04,10.78,32.76,3.49,6.05,1.64,358.91,7.12,1760.03,7.28,0.23,0.45,0.74,6.89,8.77,1373.73
2023/1/17 18:00,0.5,1.04,10.78,32.73,3.49,6.03,0.64,358.96,7.12,1324.56,7.28,0.23,0.45,0.64,6.89,8.73,1358.81
2023/1/17 18:15,0.5,1.04,10.69,31.22,3.49,5.96,0.81,358.98,7.12,1326.82,7.28,0.22,0.45,0.66,6.88,8.74,1327.01
2023/1/17 18:30,0.5,1.04,10.78,31.28,3.5,6.05,0,358.78,7.08,1351.84,7.28,0.22,0.45,0.69,6.88,8.73,1333.69
2023/1/17 18:45,0.5,1.04,10.78,31.28,3.24,6.04,1.64,358.9,7.11,1339.08,7.28,0.22,0.45,0.69,6.88,8.73,1302.67
2023/1/17 19:00,0.5,1.04,10.78,31.26,3.24,6.07,1.82,282.82,7.07,1338.99,7.28,0.22,0.45,0.92,6.89,8.73,1299.63
2023/1/17 19:15,0.5,1.04,10.78,31.19,3.24,5.95,0,283.02,7.09,2105.99,7.28,0.22,0.5,0.82,6.89,8.74,1285.99
2023/1/17 19:30,0.5,1.04,10.78,31.36,3.24,5.98,1.76,282.95,7.09,1694.96,6.89,0.22,0.5,0.79,6.9,10.19,1324.36
2023/1/17 19:45,0.5,1.04,10.78,31.27,3.25,6.11,0,282.83,7.06,1738.83,6.88,0.22,0.5,0.71,6.9,10.17,1306.6
2023/1/17 1:00,0.5,1.04,10.78,34,3.62,5.97,0,438.22,7.22,1798.5,10.26,0.33,1.63,1.25,6.8,12.74,1392.77
2023/1/17 1:15,0.5,1.04,10.78,33.99,3.63,6.05,0,438.04,7.18,2180.98,10.26,0.33,2.78,1.27,6.8,12.79,1384.43
2023/1/17 1:30,0.5,1.04,10.78,34,3.63,6.08,0,438.11,7.19,1855.72,12.51,0.33,2.78,1.29,6.79,13.81,1398.95
2023/1/17 1:45,0.5,1.04,10.78,34.02,3.63,5.98,1.23,438.16,7.2,1817.54,12.51,0.33,2.78,1.33,6.8,13.81,1402.88
2023/1/17 20:00,0.5,1.04,10.78,31.27,3.24,6.03,0,282.96,7.08,1724.01,6.89,0.22,0.5,0.75,6.91,10.2,1335.94
2023/1/17 20:15,0.5,1.04,10.78,32.65,3.23,5.94,2.4,282.83,7.06,1773.87,6.88,0.22,0.5,0.74,6.91,10.17,1349.68
2023/1/17 20:30,0.5,1.04,10.78,32.68,3.24,6.05,0.11,283.06,7.09,1774.75,6.89,0.22,0.5,0.67,6.91,10.16,1346.25
2023/1/17 20:45,0.5,1.04,10.78,32.68,3.38,6.04,2.64,282.93,7.07,1792.52,6.89,0.22,0.5,0.66,6.91,10.19,1364.8
2023/1/17 21:00,0.5,1.04,10.78,32.65,3.39,5.97,0,337.74,7.07,1804.2,6.88,0.22,0.5,0.72,6.9,10.17,1372.75
2023/1/17 21:15,0.5,1.04,10.78,32.66,3.38,5.99,1.46,337.78,7.09,1786.63,6.88,0.22,0.33,0.62,6.88,10.17,1385.7
2023/1/17 21:30,0.5,1.04,10.78,32.64,3.38,6,0.99,337.78,7.08,1764.64,6.93,0.22,0.33,0.61,6.88,9.22,1381.19
2023/1/17 21:45,0.5,1.04,10.78,32.64,3.39,6,1.58,337.55,7.04,1796.44,6.93,0.22,0.33,0.77,6.88,9.23,1600.84
2023/1/17 22:00,0.5,1.04,10.69,32.59,3.38,6.05,0,337.75,7.06,1786.43,6.93,0.22,0.33,0.79,6.87,9.2,1603.39
2023/1/17 22:15,0.5,1.04,10.78,33.38,3.38,5.97,0,337.83,7.07,1780.64,6.93,0.21,0.33,0.7,6.87,9.2,1566
2023/1/17 22:30,0.5,1.04,10.78,33.42,3.38,6,1.99,337.61,7.05,1782.02,6.93,0.21,0.33,0.68,6.87,9.23,1557.75
2023/1/17 22:45,0.5,1.04,10.78,33.43,3.51,6.06,0,337.83,7.07,1817.35,6.93,0.21,0.33,0.8,6.87,9.2,1546.86
2023/1/17 23:00,0.5,1.04,10.78,33.35,3.51,6.09,0,510.32,7.05,1799.09,6.93,0.21,0.33,0.65,6.87,9.2,1535.08
2023/1/17 23:15,0.5,1.04,10.78,33.35,3.51,5.79,0.17,510.17,7.04,1801.84,6.93,0.21,0.41,0.68,6.87,9.2,1514.27
2023/1/17 23:30,0.5,1.04,10.78,33.39,3.51,6,2.46,510.2,7.05,1769.55,7.45,0.21,0.41,0.71,6.87,8.67,1479.82
2023/1/17 23:45,0.5,1.04,10.78,33.38,3.52,5.88,0,510.28,7.06,1804.69,7.44,0.21,0.41,0.76,6.87,8.64,1495.04
2023/1/17 2:00,0.5,1.04,10.78,33.99,3.62,6.04,0.64,438.2,7.2,1731.57,12.51,0.33,2.78,1.31,6.78,13.83,1407.1
2023/1/17 2:15,0.5,1.04,10.78,31.81,3.62,6,0.81,438.17,7.2,2007.75,12.51,0.36,2.78,1.23,6.78,13.82,1416.32
2023/1/17 2:30,0.5,1.04,10.78,31.79,3.63,6,0.05,437.99,7.15,1814.99,12.51,0.36,2.78,1.27,6.78,13.8,1408.96
2023/1/17 2:45,0.5,1.04,10.78,31.85,3.24,6.01,0,438.23,7.19,1713.8,12.51,0.36,2.78,1.27,6.79,13.81,1407.88
2023/1/17 3:00,0.5,1.04,10.78,31.84,3.24,5.95,0,298.41,7.17,1799.78,12.52,0.36,2.78,1.22,6.79,13.83,1420.74
2023/1/17 3:15,0.5,1.04,10.78,31.9,3.24,5.94,1.7,298.21,7.14,1824.71,12.51,0.36,2.98,1.22,6.78,13.8,1418.39
2023/1/17 3:30,0.5,1.04,10.78,31.86,3.24,5.9,0,298.48,7.18,1921.28,13.37,0.36,2.98,1.21,6.8,12.44,1508.29
2023/1/17 3:45,0.5,1.04,10.78,31.77,3.24,5.93,0,298.43,7.17,1998.62,13.37,0.36,2.98,1.18,6.82,12.47,1536.45
2023/1/17 4:00,0.5,1.04,10.78,31.86,3.24,6.03,0,298.48,7.18,1849.44,13.37,0.36,2.98,1.26,6.82,12.43,1529.98
2023/1/17 4:15,0.5,1.04,10.78,27.13,3.25,5.95,0,298.49,7.18,1743.25,13.37,0.37,2.98,1.85,6.82,12.44,1506.42
2023/1/17 4:30,0.5,1.04,10.78,27.06,3.24,6.04,0,298.41,7.16,1950.14,13.37,0.37,2.98,9.95,6.8,12.43,1507.99
2023/1/17 4:45,0.5,1.04,10.78,27.05,2.7,5.99,1.17,298.22,7.13,1958.19,13.37,0.37,2.98,5.92,6.81,12.46,1529.58
2023/1/17 5:00,0.5,1.04,10.78,27.14,2.69,6.02,2.29,203.64,7.14,1901.65,13.37,0.37,2.98,4.34,6.81,12.43,1535.18
2023/1/17 5:15,0.5,1.04,10.76,27.07,2.69,5.97,1.87,203.62,7.14,1955.34,13.37,0.37,2.05,2.78,6.81,12.43,1538.52
2023/1/17 5:30,0.5,1.04,10.69,27.05,2.7,6.03,1.82,203.61,7.13,1935.02,11.66,0.37,2.05,2.36,6.81,12.89,1542.64
2023/1/17 5:45,0.5,1.04,10.71,27.05,2.69,5.99,0,203.87,7.18,1896.75,11.66,0.37,2.05,1.91,6.82,12.89,1557.56
2023/1/17 6:00,0.5,1.04,10.78,27.08,2.69,5.96,0,203.68,7.13,1965.16,11.66,0.37,2.05,1.81,6.83,12.87,1540.97
2023/1/17 6:15,0.5,1.04,10.78,22.77,2.7,6.04,0,203.69,7.13,1952.3,11.66,0.37,2.05,1.57,6.84,12.87,1534.59
2023/1/17 6:30,0.5,1.04,10.78,22.83,2.7,6,0.05,203.66,7.13,1882.32,11.66,0.37,2.05,1.53,6.84,12.89,1542.83
2023/1/17 6:45,0.5,1.04,10.78,22.83,2.18,5.98,0.17,203.64,7.13,1978.11,11.66,0.37,2.05,1.36,6.86,12.87,1543.91
2023/1/17 7:00,0.5,1.04,10.78,22.78,2.18,5.98,0,154.86,7.13,1961.52,11.66,0.37,2.05,1.34,6.86,12.86,1560.79
2023/1/17 7:15,0.5,1.04,10.78,22.78,2.17,6.03,0,155.06,7.16,1896.16,11.66,0.37,1.48,1.21,6.87,12.9,1574.24
2023/1/17 7:30,0.5,1.04,10.78,22.75,2.19,5.92,0.81,154.79,7.12,1889.48,10.1,0.37,1.48,1.22,6.87,10.5,1569.43
2023/1/17 7:45,0.5,1.04,10.78,22.75,2.19,5.92,1.05,154.79,7.12,1862.79,10.1,0.37,1.48,1.12,6.88,10.5,1540.09
2023/1/17 8:00,0.5,1.04,10.78,22.8,2.18,6.02,0,155.03,7.15,1930.22,10.1,0.37,1.48,1.08,6.88,10.5,1549.61
2023/1/17 8:15,0.5,1.04,10.7,20.36,2.18,6.13,0,154.85,7.12,1756.79,10.11,0.32,1.48,1.07,6.9,10.52,1569.43
2023/1/17 8:30,0.5,1.04,10.78,20.28,2.18,6.03,1.7,154.8,7.12,2071.15,10.1,0.32,1.48,1.17,6.9,10.5,1534.79
2023/1/17 8:45,0.5,1.04,10.78,20.29,1.96,5.91,0,136.85,7.16,2061.34,10.1,0.32,1.48,2.34,6.91,10.5,1601.33
2023/1/17 9:00,0.5,1.04,10.78,20.28,1.96,6.02,0,136.85,7.17,2046.42,10.1,0.32,1.48,2.1,6.91,10.52,1614.48
2023/1/17 9:15,0.5,1.04,10.78,20.31,1.96,6.13,0.11,136.62,7.13,2088.52,10.1,0.32,0.75,1.82,6.9,10.53,1627.63
2023/1/17 9:30,0.5,1.04,10.78,20.31,1.96,6.03,0.52,136.81,7.18,2094.51,8.35,0.32,0.75,1.4,6.9,9.53,1634.5
2023/1/17 9:45,0.5,1.04,10.78,20.39,1.96,6.03,0.52,136.82,7.18,2068.31,8.35,0.32,0.75,1.31,6.9,9.53,1650.6
2023/1/18 0:00,0.5,1.04,10.78,33.38,3.51,6.02,0,510.36,7.08,1797.23,7.45,0.21,0.41,0.65,6.89,8.64,1506.81
2023/1/18 0:15,0.5,1.04,10.78,33.94,3.51,6,2.11,510.17,7.06,1779.76,7.45,0.21,0.41,0.7,6.88,8.64,1500.24
2023/1/18 0:30,0.5,1.04,10.71,33.98,3.51,5.98,0.23,510.41,7.1,1757.18,7.45,0.21,0.41,0.56,6.89,8.67,1503.18
2023/1/18 0:45,0.5,1.04,10.78,34,3.54,6,2.35,510.22,7.08,1799.09,7.45,0.21,0.41,0.69,6.88,8.64,1498.28
2023/1/18 10:00,0.5,1.04,10.78,20.08,1.91,6.04,1.76,149.49,7.07,1804.1,5.51,0.18,0.11,0.7,6.95,8.13,1664.83
2023/1/18 10:15,0.5,1.04,10.78,23.4,1.91,6.06,0,149.56,7.08,1907.25,5.51,0.17,0.11,0.58,6.94,8.11,1633.23
2023/1/18 10:30,0.5,1.04,10.78,23.37,1.91,6.13,1.17,149.68,7.33,1809.89,5.51,0.17,0.11,0.7,6.95,8.11,1613.89
2023/1/18 10:45,0.5,1.04,10.78,23.39,2.42,6.02,1.58,149.48,7.47,1879.57,5.51,0.17,0.11,0.63,6.94,8.11,1623.31
2023/1/18 11:00,0.5,1.04,10.78,23.37,2.42,6.09,0,206.07,7.54,1794.87,5.51,0.17,0.11,0.57,6.95,8.1,1610.75
2023/1/18 11:15,0.5,1.04,10.78,23.37,2.42,6.02,1.76,205.94,7.56,1875.94,5.51,0.17,0.1,0.51,6.94,8.12,1609.57
2023/1/18 11:30,0.5,1.04,10.78,23.36,2.42,6.01,0,206.16,7.6,1831.68,6.17,0.17,0.1,0.65,6.94,7.95,1623.31
2023/1/18 11:45,0.5,1.04,10.78,23.4,2.42,5.95,2.11,205.91,7.58,1899.69,6.17,0.17,0.1,0.61,6.94,7.95,1587
2023/1/18 12:00,0.5,1.04,10.78,23.43,2.42,6.02,0.93,205.9,7.59,1780.35,6.17,0.17,0.1,0.49,6.94,7.95,1606.53
2023/1/18 12:15,0.5,1.04,10.78,29.38,2.42,6.06,0,206.18,7.64,1885.26,6.17,0.18,0.1,0.4,6.93,7.95,1589.94
2023/1/18 12:30,0.5,1.04,10.78,29.35,2.42,6.08,0.11,206.18,7.63,2046.81,6.17,0.18,0.1,0.5,6.92,7.98,1600.15
2023/1/18 12:45,0.5,1.04,10.78,29.33,3.32,6,1.99,206.03,7.6,2144.57,6.17,0.18,0.1,0.53,6.91,7.95,1612.03
2023/1/18 13:00,0.5,1.04,10.78,29.33,3.33,5.98,1.87,305.75,7.59,2014.03,6.17,0.18,0.1,0.56,6.91,7.96,1621.64
2023/1/18 13:15,0.5,1.04,10.78,29.35,3.32,5.92,2.46,305.8,7.6,2078.02,6.17,0.18,0.16,0.58,6.91,7.96,1628.81
2023/1/18 13:30,0.5,1.04,10.78,29.4,3.33,6.06,0,305.92,7.6,1935.12,5.95,0.18,0.16,0.6,6.89,8.02,1643.53
2023/1/18 13:45,0.5,1.04,10.78,29.37,3.33,6.06,0.64,305.7,7.56,1336.63,5.95,0.18,0.16,0.75,6.88,8.01,1657.76
2023/1/18 14:00,0.5,1.04,10.78,29.32,3.33,6.02,0,305.79,7.57,1254.38,5.95,0.18,0.16,0.52,6.88,8.02,1200.01
2023/1/18 14:15,0.5,1.04,10.78,31.07,3.33,6.05,0.46,305.73,7.57,1335.06,5.95,0.18,0.16,0.6,6.87,8.02,1197.75
2023/1/18 14:30,0.5,1.04,10.78,31.09,3.32,6.04,0,305.99,7.6,1251.15,5.95,0.18,0.16,0.53,6.87,8.01,1190.98
2023/1/18 14:45,0.5,1.04,10.78,31.09,3.49,6.1,0.46,515.89,7.61,1349,5.95,0.18,0.16,0.55,6.87,8.02,1179.79
